ISO_639_3	Script	Base_Characters
arr	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyzÃÉÍÓÕÚÛáâãéíóõúûĨĩʼẼẽꞋꞌṌṍẤấ
ars	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباپڤة
ary	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
arz	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپیچةى
asa	Latin	ABCDEFGHIJKLMNOPRSTUVWYZabcdefghijklmnoprstuvwyz
asm	Bengali	৺অআইঈউঊঋৠঌৡএঐওঔকখগঘঙচছজঝঞটঠডঢণতথদধনপফবভমযৰলৱশষসহʼ
ast	Latin	ABCDEFGHILMNOPQRSTUVXYZÁÉÍÑÓÚÜḤḶabcdefghilmnopqrstuvxyzáéíñóúüḥḷ
atv	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁЈҤӦӰабвгдежзийклмнопрстуфхцчшщъыьэюяёјҥӧӱ
auc	Latin	ABDEGIKMNOPRSTWYÃẼĨÕÑabdegikmnoprstwyãẽĩõñ
aud	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÉÍÑÓÚÜabcdefghijklmnopqrstuvwxyzáéíñóúü
ava	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
ave	Avestan	𐬀𐬁𐬅𐬃𐬆𐬇𐬄𐬂𐬠𐬡𐬗𐬛𐬜𐬈𐬉𐬟𐬔𐬕𐬖𐬵𐬩𐬌𐬍𐬘𐬐𐬮𐬨𐬥𐬢𐬤𐬣𐬧𐬦𐬊𐬋𐬞𐬭𐬯𐬱𐬳𐬴𐬙𐬚𐬝𐬎𐬏𐬬𐬑𐬓𐬒𐬫𐬪𐬰𐬲
avl	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپچ
avn	Latin	ABDEFGHIKLMNOPRSTUVWXYZabdefghiklmnoprstuvwxyzŊŋƆƉƐƑƒƲɔɖɛʋ
awa	Devanagari	अआइईउऊऋएऐओऔकखगघङचछजझञटठडढणतथदधनपफबभमयरलवशषसहऄ‌‍ऽ
awe	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyzÁÃÕáãõĨĩŨũʼẼẽỸỹꞋꞌ
awn	Geʽez	ሀሁሂሃሄህሆለሉሊላሌልሎሏሐሑሒሓሔሕሖሗመሙሚማሜምሞሟሠሡሢሣሤሥሦሧረሩሪራሬርሮሯሰሱሲሳሴስሶሷሸሹሺሻሼሽሾሿቀቁቂቃቄቅቆቈቊቋቌቍቐቑቒቓቔቕቖቘቚቛቜቝበቡቢባቤብቦቧቨቩቪቫቬቭቮቯተቱቲታቴትቶቷቸቹቺቻቼችቾቿኀኁኂኃኄኅኆኈኊኋኌኍነኑኒናኔንኖኗኘኙኚኛኜኝኞኟአኡኢኣኤእኦኧከኩኪካኬክኮኰኲኳኴኵኸኹኺኻኼኽኾዀዂዃዄዅወዉዊዋዌውዎዐዑዒዓዔዕዖዘዙዚዛዜዝዞዟዠዡዢዣዤዥዦዧየዩዪያዬይዮደዱዲዳዴድዶዷዸዹዺዻዼዽዾዿጀጁጂጃጄጅጆጇገጉጊጋጌግጎጐጒጓጔጕጘጙጚጛጜጝጞⶓⶔጟⶕጠጡጢጣጤጥጦጧጨጩጪጫጬጭጮጯጰጱጲጳጴጵጶጷጸጹጺጻጼጽጾጿፀፁፂፃፄፅፆፈፉፊፋፌፍፎፏፐፑፒፓፔፕፖፗ
ayb	Latin	ABCDEFGHIJKLMNOPRSTUVWXYZabcdefghijklmnoprstuvwxyzƆƉƐɔɖɛ
ayc	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÏÑÜabcdefghijklmnopqrstuvwxyzäïñü’
ayh	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayl	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayn	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayp	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ayr	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÏÑÜabcdefghijklmnopqrstuvwxyzäïñü’
azb	Arabic	وؤئاخعنپچژکگۆۇیەݣﺏﺕﺙﺝﺡﺩﺫﺭﺯﺱﺵﺹﺽﻁﻅﻍﻑﻕﻝﻡﻥﻩﻭآجبذر
azb	Latin	ABCDEFGHIJKLMNOPQRSTUVXYZÇÖÜĞŞƏabcdefghijklmnopqrstuvxyzçöüğİışəʼ
azj	Cyrillic	АБВГДЕЖЗИКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЈҒҜҮҸҺӘӨабвгдежзиклмнопрстуфхцчшщъыьэюяјғҝүҹһәөʼ
azj	Latin	ABCDEFGHIJKLMNOPQRSTUVXYZÇÖÜĞŞƏabcdefghijklmnopqrstuvxyzçöüğİışəʼ
azo	Latin	ABCDEFGHIJKLMNOPSTUWYZabcdefghijklmnopstuwyzÁÂÉÊÍÎÓÔÚÛáâéêíîóôúûĚěŊŋƆƏƐƗǍǎǏǐǑǒǓǔɔəɛɨʼ
bak	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҒҘҠҢҪҮҺӘӨабвгдежзийклмнопрстуфхцчшщъыьэюяёғҙҡңҫүһәө
bak	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÇÖÜČĞĶŅŚŞŠŹabcdefghijklmnopqrstuvwxyzäçöüčğİıķņśşšź
bal	Arabic	ءآابتجدرزسشلمنهوٹپچڈژکگیۏےݔࢣ
bam	Latin	ABCDEFGHIJKLMNOPRSTUWYZŊƆƐƝabcdefghijklmnoprstuwyzŋɔɛɲ
ban	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÉabcdefghijklmnopqrstuvwxyzé
ban	Balinese	ᬳᬦᬘᬭᬓᬤᬢᬲᬯᬮᬫᬕᬩᬗᬧᬚᬬᬜᬅᬆᬇᬈᬋᬌᬍᬎᬉᬊᬏᬐᬑᬒ
bas	Latin	ABCDEFGHIJKLMNOPRSTUVWYZÀÁÂÈÉÊÌÍÎÒÓÔÙÚÛĀĒĚĪŃŊŌŪǍǏǑǓǸƁƆƐabcdefghijklmnoprstuvwyzàáâèéêìíîòóôùúûāēěīńŋōūǎǐǒǔǹɓɔɛ
bax	Bamum	ꚠꚰꛀꛐꛠꚡꚱꛁꛑꛡꚢꚲꛂꛒꛢ꛲ꚣꚳꛃꛓꛣ꛳ꚤꚴꛄꛔꛤ꛴ꚥꚵꛅꛕꛥ꛵ꚦꚶꛆꛖꛦ꛶ꚧꚷꛇꛗꛧ꛷ꚨꚸꛈꛘꛨꚩꚹꛉꛙꛩꚪꚺꛊꛚꛪꚫꚻꛋꛛꛫꚬꚼꛌꛜꛬꚭꚽꛍꛝꛭꚮꚾꛎꛞꛮꚯꚿꛏꛟꛯ
bba	Latin	ABDEƐFGIKLMNOƆPRSTUWYabdeɛfgiklmnoɔprstuwy
bbc	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
bbc	Batak	ᯀᯂᯅᯇᯉᯋᯍᯎᯐᯑᯒᯔᯖᯗᯘᯛᯝᯞᯠᯤᯥ
bbo	Latin	ABDEƐFGHIƖJKLMNƝŊOƆPRSTUƲVWYabdeɛfghiɩjklmnɲŋoɔprstuʋvwy
bci	Latin	ABCDEƐFGIJKLMNOƆPRSTUVWYZabcdeɛfgijklmnoɔprstuvwyz
bdk	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭӀӘабвгдежзийклмнопрстуфхцчшщъыьэӏә
beh	Latin	ABCDEƎFGHIKLMNOPRSTUWYÁÉÍÓÚabcdeǝfghiklmnoprstuwyáéíóú
bel	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁІЎабвгдежзийклмнопрстуфхцчшщъыьэюяёіў’
bel	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZĆČŁŃŚŠŬŹŽabcdefghijklmnopqrstuvwxyzćčłńśšŭźž
bem	Latin	ABCDEFGHIJKLMNOPSTUVWYabcdefghijklmnopstuvwy
ben	Bengali	অআইঈউঊঋৠঌৡএঐওঔকখগঘঙচছজঝঞটঠডঢণতৎথদধনপফবভমযরলশষসহঽ
bez	Latin	ABCDEFGHIJKLMNOPQRSTUVWYZabcdefghijklmnopqrstuvwyz
bfa	Latin	ABDEGIJKLMNOPRSTUWYŊÖabdegijklmnoprstuwyŋö'
bfo	Latin	AÃBƁCDEẼƐFGHIĨƖJKLMNOÕƆPRSTUŨƲVWYƳaãbɓcdeẽɛfghiĩɩjklmnoõɔprstuũʋvwyƴ
bhh	Hebrew	שבתכךפףאגדהוזחטילמםנןסעצץקר
bho	Devanagari	अआइईउऊऋएऐओऔकखगघङचछजझञटठडढणतथदधनपफबभमयरलवशषसहऎऒॳॴॵʼ‌‍ऽ
bho	Kaithi	𑂃𑂄𑂅𑂆𑂇𑂈𑂉𑂊𑂋𑂌𑂍𑂎𑂏𑂐𑂑𑂒𑂓𑂔𑂕𑂖𑂗𑂘𑂙𑂚𑂛𑂜𑂝𑂞𑂟𑂠𑂡𑂢𑂣𑂤𑂥𑂦𑂧𑂨𑂩𑂪𑂫𑂬𑂭𑂮𑂯
bib	Latin	ABDEƐƏFGHIƖKLMNƝŊOƆPRSTUƲWYZabdeɛəfghiɩklmnɲŋoɔprstuʋwyzÀàÁá
bik	Latin	ABDGHIKLMNOPRSTUWYabdghiklmnoprstuwy
bin	Latin	ABDEFGHIKLMNOPRSTUVWYZÁÉÈẸÍÓÒỌÚabdefghiklmnoprstuvwyzáéèẹíóòọú'
bis	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
bjn	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
bjt	Latin	ABDEFGHIJLMNORSTUWYabdefghijlmnorstuwyÑñŊŋŦŧƁɓ
bkm	Latin	AÆBCDEFGHIƗJ’KLMNYŊOŒSTUVWZaæbcdefghiɨjklmnyŋoœstuvwzÀÈÌÒÙÂÊÎÔÛàèìòùâêîôû
blo	Latin	ABCEFGHIJKLMNOPRSTUWYabcefghijklmnoprstuwyÀÁÂÈÉÊÌÍÎÒÓÔÙÚÛàáâèéêìíîòóôùúûŊŋƆƉƎƐƖƱǝɔɖɛɩʊ
blt	Tai Viet	ꪀꪁꪂꪃꪄꪅꪆꪇꪈꪉꪊꪋꪌꪍꪎꪏꪐꪑꪒꪓꪔꪕꪖꪗꪘꪙꪚꪛꪜꪝꪞꪟꪠꪡꪢꪣꪤꪥꪦꪧꪨꪩꪪꪫꪬꪭꪮꪯꪱꪵꪶꪹꪺꪻꪼꪽꫀꫂ
bmq	Latin	ABCDEFGHIKLMNOPRSTUVWYZabcdefghiklmnoprstuvwyzƁƐƝɓɛɲʼ
boa	Latin	ABCDEGHIJKLMNOPRSTUVWYƗÑabcdeghijklmnoprstuvwyɨñ
bod	Tibetan	ཀཁགངཅཆཇཉཏཐདནཔཕབམཙཚཛཝཞཟའཡརལཤསཧཨ
bos	Cyrillic	АБВГДЕЖЗИКЛМНОПРСТУФХЦЧШЂЈЉЊЋЏабвгдежзиклмнопрстуфхцчшђјљњћџ
bos	Latin	ABCDEFGHIJKLMNOPRSTUVZĆČĐŠŽabcdefghijklmnoprstuvzćčđšž
box	Latin	ABƁCDEƐFHIKLMNƝOƆPRSTUVWYZabɓcdeɛfhiklmnɲoɔprstuvwyzÁÉÍÓÚŃÀÈÌÒÙáéíóúńàèìòùÃĨŨãĩũṸṹ
boz	Latin	ABCDEFGHIJKLMNOPRSTUWXYabcdefghijklmnoprstuwxyŊŋƆƐƝɔɛɲ
bpy	Bengali	অআইঈউঊঋএঐওঔকখগঘঙচছজঝঞটঠডঢণতথদধনপফবভমযরলৱশষসহ
bqc	Latin	ABDEƐFGIKLMNOƆPRSTUVWYZÀÁÃÈÉÌÍĨÒÓÙÚŨabdeɛfgiklmnoɔprstuvwyzàáãèéìíĩòóùúũ
bre	Latin	ABCDEFGHIJKLMNOPRSTUVWXYZÊÑÙabcdefghijklmnoprstuvwxyzêñù
brx	Devanagari	अआइईउऊऋएऐओऔकखगघङचछजझञटठडढणतथदधनपफबभमयरलवशषसहʼ‌‍ऽ
bsc	Latin	ABCDEFGHIJKLMNOPRSTUWYabcdefghijklmnoprstuwyÉËÑÓéëñóĤĥŊŋŜŝŴŵŶŷƁƊƳƴɓɗ
bsc	Latin	ABCDEFGHIJKLMNOPRSTUVWYabcdefghijklmnoprstuvwyŊŋƁƆƊƎƐƝƩƳƴǝɈɉɓɔɗɛɲʃ
bss	Latin	ABDEFGHIJKLMNOPRSTUVWYabdefghijklmnoprstuvwyáâéêíîóôúûěŊŋƆƏƐǎǐǒǔɔəɛʼ
btd	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
btd	Batak	ᯀᯂᯅᯇᯉᯍᯎᯐᯑᯒᯔᯗᯘᯛᯝᯞᯤᯥ
btm	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
btm	Batak	ᯀᯄᯅᯇᯉᯋᯎᯐᯑᯒᯔᯖᯚᯛᯝᯞᯠᯤᯥ
bts	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
bts	Batak	ᯁᯃᯅᯈᯉᯌᯏᯐᯑᯓᯕᯖᯙᯜᯝᯟᯠᯤᯥ
btx	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
btx	Batak	ᯀᯂᯅᯆᯇᯉᯋᯎᯐᯑᯒᯔᯗᯘᯛᯝᯞᯠᯡᯢᯣᯤᯥ
buc	Latin	ABDEFGHIKLMNOPRSTUVWXYZƁƊabdefghiklmnoprstuvwxyzɓɗ
bug	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
bug	Buginese	ᨀᨁᨂᨃᨄᨅᨆᨇᨈᨉᨊᨋᨌᨍᨎᨏᨐᨑᨒᨓᨔᨕᨖ
bul	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЬЮЯЀЍабвгдежзийклмнопрстуфхцчшщъьюяѐѝ
bwj	Latin	ABƁCDEƐFHIKLMNƝOƆPRSTUVWYZabɓcdeɛfhiklmnɲoɔprstuvwyzĨŨĩũṸṹ
bwq	Latin	ABDEƐFGIKLMNƝOƆPRSTUVWYZabdeɛfgiklmnɲoɔprstuvwyz
bxm	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҮҺӨабвгдежзийклмнопрстуфхцчшщъыьэюяёүһө
bxm	Latin	ABCÇDEFGHIJKLMNOӨPRSŞTUVXYZƵabcçdefghijklmnoөprsştuvxyzƶ
bxr	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҮҺӨабвгдежзийклмнопрстуфхцчшщъыьэюяёүһө
bxr	Latin	ABCÇDEFGHIJKLMNOӨPRSŞTUVXYZƵabcçdefghijklmnoөprsştuvxyzƶ
bxu	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҮҺӨабвгдежзийклмнопрстуфхцчшщъыьэюяёүһө
bxu	Latin	ABCÇDEFGHIJKLMNOӨPRSŞTUVXYZƵabcçdefghijklmnoөprsştuvxyzƶ
byn	Geʽez	ሀሁሂሃሄህሆለሉሊላሌልሎሐሑሒሓሔሕሖመሙሚማሜምሞረሩሪራሬርሮሰሱሲሳሴስሶሸሹሺሻሼሽሾቀቁቂቃቄቅቆቈቊቋቌቍቐቑቒቓቔቕቖቘቚቛቜቝበቡቢባቤብቦተቱቲታቴትቶነኑኒናኔንኖአኡኢኣኤእኦከኩኪካኬክኮኰኲኳኴኵኸኹኺኻኼኽኾዀዂዃዄዅወዉዊዋዌውዎዐዑዒዓዔዕዖየዩዪያዬይዮደዱዲዳዴድዶጀጁጂጃጄጅጆገጉጊጋጌግጎጐጒጓጔጕጘጙጚጛጜጝጞⶓⶔጟⶕⶖጠጡጢጣጤጥጦጨጩጪጫጬጭጮፈፉፊፋፌፍፎ
byn	Latin	euiaéobcdfghjklmnpqrstvwxyzñ
byv	Latin	ABCDEFGHIJKLMNOSTUVWYZabcdefghijklmnostuvwyzÀÂÈÊÌÎÒÔÙÛàâèêìîòôùûĚěŊŋƆƏƐǍǎǏǐǑǒǓǔɄɑɔəɛʉʼⱭ
bze	Latin	ABCDEFGHIJKLMNOPRSTUWYabcdefghijklmnoprstuwyŊŋƆƐƝɔɛɲ
cab	Latin	ABCDEFGHIKLMNOPRSTUWYÑÜabcdefghiklmnoprstuwyñü
cak	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄËÏÖÜabcdefghijklmnopqrstuvwxyzäëïöüʼ
cat	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÀÇÈÉÍÏÒÓÚÜabcdefghijklmnopqrstuvwxyzàçèéíïòóúü
cbi	Latin	ABCDEFGHIJLMNÑPRSTUVYabcdefghijlmnñprstuvy'
cbk	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÑabcdefghijklmnopqrstuvwxyzñ
cbr	Latin	ABCEIMNOPQRSTUXËÏÕÑabceimnopqrstux'ëïõñ
cbs	Latin	ABCDEHIJKMNPSTUVXYẼĨÃŨabcdehijkmnpstuvxy'ẽĩãũ
cbt	Latin	AHIUKMNPRSTWƗČŠahiukmnprstwɨčš
cbu	Latin	ABCDGHIKLMNOPRSTUVXYZabcdghiklmnoprstuvxyz'
ccp	Chakma	𑄃𑄄𑄅𑄆𑄇𑄈𑄉𑄊𑄋𑄌𑄍𑄎𑄏𑄐𑄑𑄒𑄓𑄔𑄕𑄖𑄗𑄘𑄙𑄚𑄛𑄜𑄝𑄞𑄟𑄠𑄡𑄢𑄣𑄤𑄥𑄦
ceb	Latin	ABDEGHIKLMNOPRSTUWYabdeghiklmnoprstuwy
ces	Latin	AÁBCČDĎEÉĚFGHhIÍJKLMNŇOÓPQRŘSŠTŤUÚŮVWXYÝZŽaábcčdďeéěfgiíjklmnňoópqrřsštťuúůvwxyýzž
